# forestry
# 5.8.2.387
Beekeeping statistics for TextComponent{text='', siblings=[TextComponent{text='77dancer', siblings=[], style=Style{hasParent=true, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=ClickEvent{action=SUGGEST_COMMAND, value='/msg 77dancer '}, hoverEvent=HoverEvent{action=SHOW_ENTITY, value='TextComponent{text='{name:"77dancer",id:"f1856b55-e624-4b25-a0ea-5219e89ca945"}', siblings=[], style=Style{hasParent=false, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=null, hoverEvent=null, insertion=null}}'}, insertion=77dancer}}], style=Style{hasParent=false, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=ClickEvent{action=SUGGEST_COMMAND, value='/msg 77dancer '}, hoverEvent=HoverEvent{action=SHOW_ENTITY, value='TextComponent{text='{name:"77dancer",id:"f1856b55-e624-4b25-a0ea-5219e89ca945"}', siblings=[], style=Style{hasParent=false, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=null, hoverEvent=null, insertion=null}}'}, insertion=77dancer}} on 4/18/20 12:57 PM:

Mode: NORMAL

Discovered:
-----------
Queen:		6
Princess:	6
Drone:		18

Species (158):
--------------
X: Discovered
BL: Blacklisted
NC: Not counted for the species total

[ X  ] [ BL ] [ NC ]	UID                                      Species              Authority           
-------------------------------------------------------------------------------------------------------

[ X  ] [    ] [    ]	forestry.speciesForest                   Forest               Sengir              
[ X  ] [    ] [    ]	forestry.speciesMeadows                  Meadows              Sengir              
[ X  ] [    ] [    ]	forestry.speciesCommon                   Common               Sengir              
[ X  ] [    ] [    ]	forestry.speciesCultivated               Cultivated           Sengir              
[ X  ] [    ] [    ]	forestry.speciesNoble                    Noble                Sengir              
[    ] [    ] [    ]	forestry.speciesMajestic                 Majestic             Sengir              
[ X  ] [    ] [    ]	forestry.speciesImperial                 Imperial             Sengir              
[ X  ] [    ] [    ]	forestry.speciesDiligent                 Diligent             Sengir              
[    ] [    ] [    ]	forestry.speciesUnweary                  Unweary              Sengir              
[ X  ] [    ] [    ]	forestry.speciesIndustrious              Industrious          Sengir              
[    ] [    ] [    ]	forestry.speciesSteadfast                Steadfast            Sengir              
[ X  ] [    ] [    ]	forestry.speciesValiant                  Valiant              Sengir              
[    ] [    ] [    ]	forestry.speciesHeroic                   Heroic               Sengir              
[    ] [    ] [    ]	forestry.speciesSinister                 Sinister             Sengir              
[    ] [    ] [    ]	forestry.speciesFiendish                 Fiendish             Sengir              
[    ] [    ] [    ]	forestry.speciesDemonic                  Demonic              Sengir              
[    ] [    ] [    ]	forestry.speciesModest                   Modest               Sengir              
[    ] [    ] [    ]	forestry.speciesFrugal                   Frugal               Sengir              
[    ] [    ] [    ]	forestry.speciesAustere                  Austere              Sengir              
[    ] [    ] [    ]	forestry.speciesTropical                 Tropical             Sengir              
[    ] [    ] [    ]	forestry.speciesExotic                   Exotic               Sengir              
[    ] [    ] [    ]	forestry.speciesEdenic                   Edenic               Sengir              
[    ] [    ] [    ]	forestry.speciesEnded                    Ender                Sengir              
[    ] [    ] [    ]	forestry.speciesSpectral                 Spectral             Sengir              
[    ] [    ] [    ]	forestry.speciesPhantasmal               Phantasmal           Sengir              
[    ] [    ] [    ]	forestry.speciesWintry                   Wintry               Sengir              
[    ] [    ] [    ]	forestry.speciesIcy                      Icy                  Sengir              
[    ] [    ] [    ]	forestry.speciesGlacial                  Glacial              Sengir              
[    ] [    ] [ NC ]	forestry.speciesVindictive               Vindictive           Sengir              
[    ] [    ] [ NC ]	forestry.speciesVengeful                 Vengeful             Sengir              
[    ] [    ] [ NC ]	forestry.speciesAvenging                 Avenging             Sengir              
[    ] [    ] [ NC ]	forestry.speciesLeporine                 Leporine             Sengir              
[    ] [    ] [ NC ]	forestry.speciesMerry                    Merry                Sengir              
[    ] [    ] [ NC ]	forestry.speciesTipsy                    Tipsy                Sengir              
[    ] [    ] [ NC ]	forestry.speciesTricky                   Tricky               Sengir              
[    ] [    ] [    ]	forestry.speciesRural                    Rural                Sengir              
[    ] [    ] [    ]	forestry.speciesFarmerly                 Farmerly             Sengir              
[    ] [    ] [    ]	forestry.speciesAgrarian                 Agrarian             Sengir              
[    ] [    ] [    ]	forestry.speciesMarshy                   Marshy               Sengir              
[    ] [    ] [    ]	forestry.speciesMiry                     Miry                 Sengir              
[    ] [    ] [    ]	forestry.speciesBoggy                    Boggy                Sengir              
[    ] [    ] [    ]	forestry.speciesMonastic                 Monastic             Sengir              
[    ] [    ] [    ]	forestry.speciesSecluded                 Secluded             Sengir              
[    ] [    ] [    ]	forestry.speciesHermitic                 Hermitic             Sengir              
[    ] [    ] [    ]	magicbees.speciesMystical                Mystical             Elec332             
